source_id,source_type,relation,properties,target_id,target_type
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_31253,Phytochemical
CID_31253,Phytochemical,interacts_with,,2908,Target
CID_31253,Phytochemical,interacts_with,,3315,Target
CID_31253,Phytochemical,interacts_with,,3725,Target
CID_31253,Phytochemical,interacts_with,,4790,Target
CID_31253,Phytochemical,interacts_with,,5467,Target
CID_31253,Phytochemical,interacts_with,,7253,Target
CID_31253,Phytochemical,interacts_with,,9971,Target
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_5204,Phytochemical
CID_5204,Phytochemical,interacts_with,,10951,Target
CID_5204,Phytochemical,interacts_with,,11201,Target
CID_5204,Phytochemical,interacts_with,,23435,Target
CID_5204,Phytochemical,interacts_with,,2740,Target
CID_5204,Phytochemical,interacts_with,,51053,Target
CID_5204,Phytochemical,interacts_with,,55775,Target
CID_5204,Phytochemical,interacts_with,,5745,Target
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_90472510,Phytochemical
Commiphora wightii,SHD,contains_chemical,part:Plant exudate,CID_445858,Phytochemical
CID_445858,Phytochemical,interacts_with,,10013,Target
CID_445858,Phytochemical,interacts_with,,10014,Target
CID_445858,Phytochemical,interacts_with,,10280,Target
CID_445858,Phytochemical,interacts_with,,10599,Target
CID_445858,Phytochemical,interacts_with,,10800,Target
CID_445858,Phytochemical,interacts_with,,11238,Target
CID_445858,Phytochemical,interacts_with,,1128,Target
CID_445858,Phytochemical,interacts_with,,1129,Target
CID_445858,Phytochemical,interacts_with,,1131,Target
CID_445858,Phytochemical,interacts_with,,1132,Target
CID_445858,Phytochemical,interacts_with,,1133,Target
CID_445858,Phytochemical,interacts_with,,1233,Target
CID_445858,Phytochemical,interacts_with,,1234,Target
CID_445858,Phytochemical,interacts_with,,1268,Target
CID_445858,Phytochemical,interacts_with,,134,Target
CID_445858,Phytochemical,interacts_with,,135,Target
CID_445858,Phytochemical,interacts_with,,140,Target
CID_445858,Phytochemical,interacts_with,,1432,Target
CID_445858,Phytochemical,interacts_with,,1457,Target
CID_445858,Phytochemical,interacts_with,,1459,Target
CID_445858,Phytochemical,interacts_with,,146,Target
CID_445858,Phytochemical,interacts_with,,1460,Target
CID_445858,Phytochemical,interacts_with,,150,Target
CID_445858,Phytochemical,interacts_with,,151,Target
CID_445858,Phytochemical,interacts_with,,1511,Target
CID_445858,Phytochemical,interacts_with,,152,Target
CID_445858,Phytochemical,interacts_with,,153,Target
CID_445858,Phytochemical,interacts_with,,154,Target
CID_445858,Phytochemical,interacts_with,,1544,Target
CID_445858,Phytochemical,interacts_with,,1548,Target
CID_445858,Phytochemical,interacts_with,,155,Target
